Filename,Movement Detected,Animal Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0071.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0072.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0073.AVI,False,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0074.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0075.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0076.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0077.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0078.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0079.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0080.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0081.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0082.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0083.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0084.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0085.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0086.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0087.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0088.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0089.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0090.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0091.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0092.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0093.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0094.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0095.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0096.AVI,False,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0097.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0098.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0099.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0100.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0101.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0102.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0103.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0104.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0105.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0106.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0107.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0108.AVI,False,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0109.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0110.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0111.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0112.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0113.AVI,True,False
