Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0075.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0076.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0077.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0078.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0079.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0080.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0081.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0082.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0083.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0084.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0085.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0086.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0087.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0088.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0089.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0090.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0091.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0092.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0093.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0094.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0095.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0096.AVI,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0097.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0098.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0099.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0100.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0101.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0102.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0103.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0104.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0105.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0106.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0107.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0108.AVI,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0109.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0110.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0111.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0112.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0113.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0114.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0115.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0116.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0117.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0118.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0119.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0120.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0121.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0122.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0123.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0124.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0125.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0126.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0127.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0128.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0129.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0130.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0131.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0132.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0133.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0134.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0135.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0136.AVI,True
